Summary;Issue Type;Status;Priority;Created;Updated;Last Viewed;Description
5   | ACTIVE      | org.onosproject.cluster.impl.LeadershipManager                                    
6   | UNSATISFIED | org.onosproject.net.intent.impl.compiler.MultiPointToSinglePointIntentCompiler    
7   | UNSATISFIED | org.onosproject.net.intent.impl.compiler.VirtualNetworkIntentCompiler             
8   | ACTIVE      | org.onosproject.net.resource.impl.ResourceManager                                 
9   | ACTIVE      | org.onosproject.cluster.impl.DefaultClusterMetadataProvider                       
10  | REGISTERED  | org.onosproject.net.intent.impl.IntentManager                                     
11  | UNSATISFIED | org.onosproject.net.intent.impl.installer.DomainIntentInstaller                   
12  | ACTIVE      | org.onosproject.net.driver.impl.DriverRegistryManager                             
13  | REGISTERED  | org.onosproject.net.topology.impl.PathManager                                     
14  | ACTIVE      | org.onosproject.net.domain.impl.DomainManager                                     
15  | ACTIVE      | org.onosproject.cluster.impl.ClusterMetadataManager                               
16  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.LinkCollectionIntentFlowObjectiveCompiler
17  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.PointToPointIntentCompiler               
18  | UNSATISFIED | org.onosproject.net.intent.impl.installer.ProtectionEndpointIntentInstaller       
19  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.TwoWayP2PIntentCompiler                  
20  | ACTIVE      | org.onosproject.net.flow.impl.FlowRuleManager                                     
21  | ACTIVE      | org.onosproject.cluster.impl.ConfigFileBasedClusterMetadataProvider               
22  | ACTIVE      | org.onosproject.core.impl.VersionManager                                          
23  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.LinkCollectionIntentObjectiveCompiler    
24  | ACTIVE      | org.onosproject.cluster.impl.MastershipManager                                    
25  | UNSATISFIED | org.onosproject.net.intent.impl.installer.FlowObjectiveIntentInstaller            
26  | ACTIVE      | org.onosproject.net.pi.impl.PiPipeconfManager                                     
27  | ACTIVE      | org.onosproject.net.key.impl.DeviceKeyManager                                     
28  | ACTIVE      | org.onosproject.net.config.impl.NetworkConfigManager                              
29  | ACTIVE      | org.onosproject.net.group.impl.GroupManager                                       
30  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.HostToHostIntentCompiler                 
31  | ACTIVE      | org.onosproject.cluster.impl.ComponentsMonitor                                    
32  | UNSATISFIED | org.onosproject.net.intent.impl.installer.FlowRuleIntentInstaller                 
33  | ACTIVE      | org.onosproject.net.statistic.impl.StatisticManager                               
34  | REGISTERED  | org.onosproject.net.edgeservice.impl.EdgeManager                                  
35  | REGISTERED  | org.onosproject.net.intent.impl.ObjectiveTracker                                  
36  | ACTIVE      | org.onosproject.cfg.impl.ComponentConfigManager                                   
37  | ACTIVE      | org.onosproject.net.flowobjective.impl.FlowObjectiveManager                       
38  | ACTIVE      | org.onosproject.app.impl.ApplicationManager                                       
39  | REGISTERED  | org.onosproject.net.host.impl.HostManager                                         
40  | ACTIVE      | org.onosproject.event.impl.CoreEventDispatcher                                    
41  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.PathIntentCompiler                       
42  | REGISTERED  | org.onosproject.net.topology.impl.DefaultTopologyProvider                         
43  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.LinkCollectionIntentCompiler             
44  | ACTIVE      | org.onosproject.net.pi.impl.PiFlowRuleTranslationServiceImpl                      
45  | ACTIVE      | org.onosproject.net.topology.impl.TopologyManager                                 
46  | REGISTERED  | org.onosproject.net.intent.impl.compiler.IntentConfigurableRegistrator            
47  | REGISTERED  | org.onosproject.net.neighbour.impl.NeighbourResolutionManager                     
48  | REGISTERED  | org.onosproject.net.packet.impl.PacketManager                                     
49  | ACTIVE      | org.onosproject.net.config.impl.BasicNetworkConfigs                               
50  | ACTIVE      | org.onosproject.net.config.impl.NetworkConfigLoader                               
51  | ACTIVE      | org.onosproject.cfg.impl.ComponentConfigLoader                                    
52  | ACTIVE      | org.onosproject.net.config.impl.DeviceInjectionConfigMonitor                      
53  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.PathIntentFlowObjectiveCompiler          
54  | ACTIVE      | org.onosproject.net.device.impl.DeviceManager                                     
55  | ACTIVE      | org.onosproject.net.domain.impl.DomainIntentManager                               
56  | ACTIVE      | org.onosproject.net.intent.impl.ProtectionConfigMonitor                           
57  | REGISTERED  | org.onosproject.net.link.impl.LinkManager                                         
58  | ACTIVE      | org.onosproject.core.impl.CoreManager                                             
59  | ACTIVE      | org.onosproject.net.region.impl.RegionManager                                     
60  | ACTIVE      | org.onosproject.net.statistic.impl.FlowStatisticManager                           
61  | ACTIVE      | org.onosproject.net.mcast.impl.MulticastRouteManager                              
62  | ACTIVE      | org.onosproject.core.impl.HybridLogicalClockManager                               
63  | UNSATISFIED | org.onosproject.net.intent.impl.IntentCleanup                                     
64  | ACTIVE      | org.onosproject.core.impl.MetricsManagerComponent                                 
65  | ACTIVE      | org.onosproject.component.impl.ComponentManager                                   
66  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.ProtectedTransportIntentCompiler         
67  | UNSATISFIED | org.onosproject.net.intent.impl.compiler.SinglePointToMultiPointIntentCompiler    
68  | ACTIVE      | org.onosproject.cluster.impl.ClusterManager                                       
69  | ACTIVE      | org.onosproject.net.resource.impl.ResourceRegistrar                               
70  | ACTIVE      | org.onosproject.codec.impl.CodecManager                                           
71  | ACTIVE      | org.onosproject.store.topology.impl.DistributedTopologyStore                      
72  | ACTIVE      | org.onosproject.store.mastership.impl.ConsistentDeviceMastershipStore             
73  | ACTIVE      | org.onosproject.store.statistic.impl.DistributedFlowStatisticStore                
74  | ACTIVE      | org.onosproject.store.core.impl.LogicalClockManager                               
75  | ACTIVE      | org.onosproject.store.flow.impl.ReplicaInfoManager                                
76  | ACTIVE      | org.onosproject.store.core.impl.DistributedApplicationIdStore                     
77  | ACTIVE      | org.onosproject.store.key.impl.DistributedDeviceKeyStore                          
78  | ACTIVE      | org.onosproject.store.region.impl.DistributedRegionStore                          
79  | ACTIVE      | org.onosproject.store.resource.impl.ConsistentResourceStore                       
80  | ACTIVE      | org.onosproject.store.group.impl.DistributedGroupStore                            
81  | ACTIVE      | org.onosproject.store.cluster.messaging.impl.NettyMessagingManager                
82  | ACTIVE      | org.onosproject.store.core.impl.DistributedIdBlockStore                           
83  | ACTIVE      | org.onosproject.store.mcast.impl.DistributedMcastStore                            
84  | ACTIVE      | org.onosproject.store.flowobjective.impl.DistributedFlowObjectiveStore            
85  | ACTIVE      | org.onosproject.store.intent.impl.GossipIntentStore                               
86  | ACTIVE      | org.onosproject.store.intent.impl.WorkPartitionManager                            
87  | ACTIVE      | org.onosproject.store.flow.impl.DistributedFlowRuleStore                          
88  | ACTIVE      | org.onosproject.store.host.impl.DistributedHostStore                              
89  | ACTIVE      | org.onosproject.store.cfg.DistributedComponentConfigStore                         
90  | ACTIVE      | org.onosproject.store.config.impl.DistributedNetworkConfigStore                   
91  | ACTIVE      | org.onosproject.store.device.impl.GossipDeviceStore                               
92  | ACTIVE      | org.onosproject.store.cluster.messaging.impl.ClusterCommunicationManager          
93  | ACTIVE      | org.onosproject.store.intent.impl.ConsistentIntentSetMultimap                     
94  | ACTIVE      | org.onosproject.store.device.impl.DeviceClockManager                              
95  | ACTIVE      | org.onosproject.store.cluster.impl.DistributedLeadershipStore                     
96  | REGISTERED  | org.onosproject.store.link.impl.ECLinkStore                                       
97  | ACTIVE      | org.onosproject.store.cluster.impl.DistributedClusterStore                        
98  | ACTIVE      | org.onosproject.store.statistic.impl.DistributedStatisticStore                    
